               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040437,            0.045756,           0.0070294,             0.91698,             0.83539,             0.91129,              0.6301,            0.034502,            0.024108,           0.0037426,            0.006535,            0.006535,            0.006535
                  37,            0.038868,            0.044763,           0.0070396,             0.87825,             0.84276,              0.9102,             0.62877,            0.035244,            0.023795,           0.0037466,            0.006436,            0.006436,            0.006436
                  38,            0.039492,            0.044964,           0.0064922,             0.87283,              0.8531,             0.91013,             0.62268,            0.034631,             0.02409,           0.0038098,            0.006337,            0.006337,            0.006337
                  39,            0.040216,            0.044696,           0.0064429,             0.87534,             0.85588,             0.91364,             0.62204,            0.033781,            0.024361,           0.0037566,            0.006238,            0.006238,            0.006238
                  40,            0.037737,            0.043847,           0.0073484,             0.87764,             0.86342,             0.91381,               0.614,            0.034389,             0.02451,           0.0036706,            0.006139,            0.006139,            0.006139
                  41,            0.039128,             0.04231,           0.0070423,             0.86145,              0.8757,             0.91495,             0.63946,            0.034055,            0.023837,           0.0035558,             0.00604,             0.00604,             0.00604
                  42,            0.039155,            0.043256,            0.006542,             0.86777,             0.86819,              0.9185,             0.63993,            0.033755,            0.023766,           0.0035353,            0.005941,            0.005941,            0.005941
                  43,            0.036838,            0.043887,           0.0063838,             0.86572,             0.88545,             0.92504,             0.64148,             0.03307,            0.023609,           0.0034959,            0.005842,            0.005842,            0.005842
                  44,            0.038323,            0.043606,           0.0072355,             0.89807,             0.87111,             0.93157,             0.63218,            0.034342,            0.023829,           0.0034843,            0.005743,            0.005743,            0.005743
                  45,            0.038425,            0.036983,           0.0068877,             0.91714,             0.85841,             0.93092,             0.66403,            0.032994,            0.023247,           0.0034879,            0.005644,            0.005644,            0.005644
                  46,            0.037023,            0.041859,           0.0059816,             0.90985,             0.86048,             0.93071,             0.66745,            0.032374,            0.022956,           0.0034773,            0.005545,            0.005545,            0.005545
                  47,            0.035419,            0.041008,           0.0064283,              0.8773,             0.86773,             0.91969,              0.6431,            0.034446,            0.022957,           0.0035137,            0.005446,            0.005446,            0.005446
                  48,            0.037471,            0.038895,           0.0060623,             0.85801,             0.88377,             0.92562,              0.6641,            0.032301,            0.022579,           0.0035225,            0.005347,            0.005347,            0.005347
                  49,            0.035983,            0.039436,           0.0061843,             0.85384,              0.8735,             0.92608,             0.65107,            0.033332,            0.022531,           0.0034925,            0.005248,            0.005248,            0.005248
                  50,            0.036534,            0.037345,           0.0067591,             0.88849,             0.88703,             0.93484,             0.66637,            0.032488,            0.022308,           0.0035053,            0.005149,            0.005149,            0.005149
                  51,            0.037458,            0.043561,           0.0067332,             0.90658,             0.86272,             0.92613,             0.66579,            0.032754,            0.022532,            0.003442,             0.00505,             0.00505,             0.00505
                  52,            0.037101,            0.040666,           0.0059085,             0.90879,             0.86453,             0.93522,             0.68306,             0.03205,            0.022018,           0.0034047,            0.004951,            0.004951,            0.004951
                  53,            0.035183,            0.037848,           0.0063305,              0.9017,             0.88224,             0.94077,             0.67743,            0.032401,            0.021815,           0.0033799,            0.004852,            0.004852,            0.004852
                  54,            0.037229,            0.036818,           0.0075938,             0.92124,             0.87187,             0.93524,             0.68469,            0.031074,            0.021751,            0.003352,            0.004753,            0.004753,            0.004753
                  55,            0.035733,            0.039215,           0.0064525,             0.89455,             0.89087,             0.94147,             0.67183,            0.030873,            0.021649,           0.0032269,            0.004654,            0.004654,            0.004654
                  56,            0.035918,            0.039662,           0.0062372,              0.8922,             0.89193,             0.93634,             0.68027,            0.031013,            0.021575,           0.0031772,            0.004555,            0.004555,            0.004555
