               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11202,             0.02835,            0.055305,          0.00027537,             0.13333,          0.00031964,          5.0192e-05,            0.058035,            0.024903,            0.037094,              0.0928,              0.0008,              0.0008
                   1,            0.087936,            0.029676,            0.054275,           0.0013118,             0.33333,           0.0018135,          0.00053603,            0.040137,            0.023366,            0.035574,            0.084683,           0.0016832,           0.0016832
                   2,            0.073301,            0.030392,            0.052376,           0.0036667,             0.96667,            0.010152,           0.0027549,            0.034047,            0.020738,            0.033788,            0.076549,           0.0025485,           0.0025485
                   3,            0.061741,            0.028687,            0.049011,           0.0035233,                   1,              0.1481,            0.044465,            0.033056,            0.017645,            0.033635,            0.068396,            0.003396,            0.003396
                   4,            0.058784,            0.025029,            0.047888,           0.0034377,                   1,              0.3298,              0.1108,            0.036027,            0.014582,            0.032663,            0.060226,           0.0042258,           0.0042258
                   5,            0.055629,            0.024835,            0.045176,           0.0033811,                   1,             0.27011,            0.064464,            0.042589,            0.011701,            0.031481,            0.052038,           0.0050376,           0.0050376
                   6,            0.056052,            0.020531,            0.044188,           0.0034107,                   1,              0.1483,            0.029468,            0.035805,            0.011585,            0.030609,            0.043832,           0.0058317,           0.0058317
                   7,            0.055735,            0.022165,             0.04395,           0.0045607,                   1,             0.54215,             0.17441,            0.033675,             0.01072,            0.029458,            0.035608,            0.006608,            0.006608
                   8,            0.053811,            0.021321,            0.044343,            0.074691,             0.96667,              0.3919,             0.11318,            0.043412,            0.009157,            0.028238,            0.027366,           0.0073664,           0.0073664
                   9,            0.049807,            0.018141,            0.042008,              0.4573,             0.48865,             0.67122,             0.31495,            0.028762,            0.010057,            0.027452,            0.019107,            0.008107,            0.008107
                  10,            0.052345,            0.020869,            0.043188,             0.59424,             0.44048,             0.55069,             0.21786,            0.044115,           0.0081625,            0.026117,             0.01083,           0.0088298,           0.0088298
                  11,            0.050915,            0.018282,            0.036631,              0.6087,            0.067449,             0.14808,            0.046161,            0.042196,           0.0095136,            0.028586,            0.008911,            0.008911,            0.008911
                  12,            0.056182,             0.01544,            0.036202,             0.62323,                 0.2,             0.18298,            0.075605,            0.037327,           0.0099923,            0.025876,            0.008911,            0.008911,            0.008911
                  13,            0.049057,            0.018903,            0.036405,              0.5185,             0.35234,             0.48392,             0.26864,            0.033293,           0.0086679,            0.022733,            0.008812,            0.008812,            0.008812
                  14,            0.051774,            0.015877,              0.0348,              0.7144,             0.56925,             0.70534,             0.30316,            0.033508,           0.0071421,            0.018688,            0.008713,            0.008713,            0.008713
                  15,            0.046367,            0.015034,            0.028918,              0.6926,             0.53292,             0.67634,             0.30375,            0.038316,           0.0065401,            0.016035,            0.008614,            0.008614,            0.008614
                  16,            0.057057,            0.012057,            0.030852,             0.38691,             0.88895,             0.68935,             0.29748,            0.038221,           0.0058742,            0.014434,            0.008515,            0.008515,            0.008515
                  17,            0.053628,            0.011864,            0.023047,             0.45467,             0.89186,             0.71093,             0.35213,            0.036115,           0.0056916,            0.012713,            0.008416,            0.008416,            0.008416
                  18,             0.05037,             0.01214,             0.02546,             0.58379,             0.96667,             0.88731,             0.47283,            0.030361,           0.0055032,            0.011569,            0.008317,            0.008317,            0.008317
                  19,            0.049746,            0.013444,            0.022874,             0.66218,             0.95898,             0.92205,             0.48092,            0.029453,           0.0058538,            0.010802,            0.008218,            0.008218,            0.008218
                  20,            0.050743,             0.01216,            0.022298,             0.78989,             0.96667,             0.95102,             0.54567,             0.02459,           0.0053784,           0.0099177,            0.008119,            0.008119,            0.008119
                  21,            0.045978,            0.010139,            0.018779,             0.67884,             0.92196,             0.81124,             0.43651,            0.031766,           0.0052817,           0.0092668,             0.00802,             0.00802,             0.00802
                  22,            0.046147,            0.010788,             0.01806,              0.8795,             0.93333,             0.96034,             0.50448,            0.024485,           0.0053577,           0.0087687,            0.007921,            0.007921,            0.007921
                  23,            0.047915,            0.010413,            0.019971,             0.84736,             0.88947,             0.87024,             0.48895,            0.027833,           0.0054242,           0.0078558,            0.007822,            0.007822,            0.007822
                  24,            0.043388,            0.009682,            0.016696,             0.73747,             0.85469,             0.88954,             0.44613,            0.029187,           0.0054002,            0.006998,            0.007723,            0.007723,            0.007723
                  25,            0.043975,            0.010265,            0.016366,             0.83226,             0.91857,             0.94753,             0.58414,            0.022876,           0.0054909,           0.0064946,            0.007624,            0.007624,            0.007624
                  26,            0.040487,            0.010463,            0.012472,             0.71933,             0.93514,              0.9349,             0.56739,             0.02558,           0.0052647,           0.0060474,            0.007525,            0.007525,            0.007525
                  27,            0.043655,            0.010232,            0.010569,             0.87066,             0.88209,             0.98389,             0.59359,            0.023838,            0.004888,           0.0051348,            0.007426,            0.007426,            0.007426
                  28,            0.043258,            0.011053,            0.011058,             0.82952,             0.95453,              0.9569,             0.52754,            0.026643,           0.0046882,           0.0049857,            0.007327,            0.007327,            0.007327
                  29,            0.040303,           0.0098255,            0.012017,             0.90205,             0.92599,             0.97298,             0.52744,            0.025716,           0.0047515,           0.0045331,            0.007228,            0.007228,            0.007228
                  30,            0.040582,           0.0091872,           0.0098917,             0.81938,             0.98234,             0.96722,             0.54175,            0.024813,           0.0050555,           0.0039844,            0.007129,            0.007129,            0.007129
                  31,            0.042244,            0.010674,           0.0093517,              0.7243,             0.96448,             0.90688,             0.60434,             0.02337,           0.0049023,            0.003782,             0.00703,             0.00703,             0.00703
                  32,            0.043777,           0.0090773,           0.0087887,             0.81955,             0.99259,             0.93095,             0.58168,            0.020304,           0.0048177,           0.0035407,            0.006931,            0.006931,            0.006931
                  33,            0.038764,            0.010064,           0.0092883,             0.73982,                   1,             0.95288,             0.64832,            0.019966,           0.0046453,           0.0034187,            0.006832,            0.006832,            0.006832
                  34,            0.038188,           0.0087788,           0.0072251,             0.83556,                   1,             0.96881,             0.60671,             0.02079,           0.0046728,            0.003056,            0.006733,            0.006733,            0.006733
                  35,            0.040444,           0.0091075,           0.0066892,             0.66827,                   1,             0.96325,             0.58956,            0.027544,            0.004485,           0.0027979,            0.006634,            0.006634,            0.006634
                  36,            0.037429,           0.0085797,           0.0064141,             0.81531,             0.99553,             0.97214,             0.52454,             0.02243,           0.0044376,           0.0026588,            0.006535,            0.006535,            0.006535
                  37,            0.037469,           0.0085452,           0.0058739,             0.86661,                   1,             0.98548,             0.61017,            0.019526,           0.0044424,           0.0026548,            0.006436,            0.006436,            0.006436
                  38,            0.039862,           0.0088765,           0.0058001,             0.91051,                   1,               0.995,             0.55446,            0.023909,           0.0044385,           0.0025837,            0.006337,            0.006337,            0.006337
                  39,             0.03947,           0.0090424,           0.0055935,             0.93425,                   1,               0.995,             0.68071,            0.020554,           0.0043517,           0.0025547,            0.006238,            0.006238,            0.006238
                  40,            0.036339,           0.0082163,            0.004876,             0.96557,                   1,               0.995,             0.58593,            0.022122,           0.0043048,           0.0026151,            0.006139,            0.006139,            0.006139
                  41,            0.037306,           0.0087441,           0.0046494,             0.97096,             0.99726,               0.995,             0.65187,            0.019424,           0.0041564,           0.0025706,             0.00604,             0.00604,             0.00604
                  42,            0.036843,           0.0088445,           0.0041984,             0.95776,             0.99535,               0.995,             0.63795,             0.02044,             0.00411,           0.0026186,            0.005941,            0.005941,            0.005941
                  43,            0.037344,           0.0088766,           0.0043711,             0.94846,             0.99394,               0.995,              0.6672,            0.018437,           0.0040912,           0.0023512,            0.005842,            0.005842,            0.005842
