               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040956,             0.04604,           0.0071934,             0.88967,             0.84331,             0.91381,             0.60511,            0.035378,            0.024524,            0.003829,            0.006535,            0.006535,            0.006535
                  37,            0.039606,            0.044993,           0.0071447,             0.89317,             0.83788,             0.91515,             0.62747,            0.035273,             0.02419,           0.0038421,            0.006436,            0.006436,            0.006436
                  38,            0.039488,             0.04537,           0.0066295,             0.88928,             0.84959,             0.91762,             0.63566,            0.034367,            0.024032,           0.0038957,            0.006337,            0.006337,            0.006337
                  39,            0.039816,             0.04433,           0.0067442,              0.8909,             0.84882,             0.92334,             0.63161,            0.033642,            0.024239,           0.0038424,            0.006238,            0.006238,            0.006238
                  40,            0.037628,            0.043422,           0.0074073,             0.87351,             0.85881,             0.91807,             0.62362,            0.035495,            0.024723,           0.0037717,            0.006139,            0.006139,            0.006139
                  41,            0.039443,            0.042256,           0.0072147,             0.87276,             0.86302,             0.92281,             0.64464,            0.034015,            0.023879,           0.0036724,             0.00604,             0.00604,             0.00604
                  42,            0.039258,            0.043107,           0.0067767,             0.88589,             0.85348,              0.9306,             0.64716,              0.0336,            0.023712,           0.0036129,            0.005941,            0.005941,            0.005941
                  43,            0.036711,            0.043478,           0.0064171,             0.90705,             0.84802,              0.9249,             0.64153,            0.034314,            0.023895,           0.0035905,            0.005842,            0.005842,            0.005842
                  44,            0.038924,            0.043933,           0.0071493,             0.89617,             0.85328,              0.9226,             0.62296,            0.035006,             0.02378,           0.0035886,            0.005743,            0.005743,            0.005743
                  45,            0.038662,            0.037116,           0.0070096,              0.8619,             0.88882,              0.9286,             0.65732,            0.032939,            0.023271,           0.0036136,            0.005644,            0.005644,            0.005644
                  46,            0.037093,             0.04148,           0.0059771,             0.87669,              0.8759,                0.93,             0.65248,            0.033671,            0.023269,           0.0036226,            0.005545,            0.005545,            0.005545
                  47,            0.035871,            0.041047,           0.0064788,             0.87059,             0.86806,             0.92527,             0.63214,            0.034498,            0.023256,           0.0036387,            0.005446,            0.005446,            0.005446
                  48,            0.037445,            0.039148,           0.0063518,             0.90371,             0.85915,             0.92179,              0.6629,            0.032048,            0.022731,           0.0035737,            0.005347,            0.005347,            0.005347
                  49,            0.035392,            0.039386,            0.006092,             0.90294,             0.85775,             0.91776,             0.63967,            0.032902,            0.022516,           0.0034638,            0.005248,            0.005248,            0.005248
                  50,            0.036383,            0.037645,           0.0066703,             0.91937,             0.85588,             0.91797,             0.66213,            0.032208,            0.022215,           0.0034234,            0.005149,            0.005149,            0.005149
                  51,            0.037249,            0.043222,           0.0067352,             0.91145,             0.87123,             0.92776,             0.67013,            0.033066,            0.022528,           0.0033259,             0.00505,             0.00505,             0.00505
                  52,            0.037391,            0.040844,           0.0058613,             0.90958,             0.86412,             0.93188,             0.68514,            0.031589,            0.021905,           0.0032687,            0.004951,            0.004951,            0.004951
